Động từ (Action),"Đối tượng (Examples of User input, including weight & abstract entity)",Công thức gốc (Original recipes),Ngày xuất bản,Số báo,Báo,Nguyên văn 
"khứa ra từ khứa đừng mỏng lắm, để cho ráo nước",,Canh chua thơm,"May 23, 1929",4,Phụ Nữ Tân Văn,"Một con cá lóc trộng thì một trái thơm cho chính. Cá làm khứa ra từ khứa đừng mỏng lắm, để cho ráo nước. Thơm gọt cho hết mắt để nguyên vậy mà xắt lát ra từ lát lớn, lại xát lại cho nhỏ bằng ngón tay trỏ, nước sôi bỏ cá và thơm một lược, cho sôi lại vài ba giạo, nêm nước mắm và nếm cho vừa cứng, nêm yếu ăn mất ngọt. Liệu chừng ngồi ăn, canh đang sôi sẽ nhắc xuống mà bỏ rau tần hành lá, ớt vào, giọn lên bàn canh phải nóng, và rau cho xanh thì ngon."
"lột bỏ vỏ, cho ruột vô một cái thùng, lấy chày nghiền khuấy cho thiệt nát, mùa nóng đổ nước lạnh, mùa lạnh đổ nước nóng, để độ 10 ngày nó phát chua mà thành giấm.",,Giấm chuối,"May 31, 1918",16,Nữ Giới Chung,"Nay lấy chuối chín, lột bỏ vỏ, cho ruột vô một cái thùng, lấy chày nghiền khuấy cho thiệt nát, mùa nóng đổ nước lạnh, mùa lạnh đổ nước nóng, để độ 10 ngày nó phát chua mà thành giấm. Rồi lấy vải lược đi lược lại cho kỷ, đoạn đổ một ve giấm chua cũa các nhà hàng bán, cho lẫn vô, đậy nắp kín lại, càng lâu chừng nào, càng ngon chừng ấy."
"rưới một chúc rượu, đậy vung lại, để riu riu lữa than",,Sữa cơm nấu sống cho chín lại,"April 26, 1918",12,Nữ Giới Chung,"Khi nấu cơm mà lở sống, thì phải rưới một chúc rượu, đậy vung lại, để riu riu lữa than, một lát thì cơm chín, và mùi lại thơm tho nữa."
"cắt ra từng miếng, bỏ trong nước sôi mà luộc một lát; rồi vớt ra, đổ một phần nước, hai phần đường, nấu cho nó sắt lại",,Mứt,"Mar 22, 1918",7,Nữ Giới Chung,"Trước hết phải lựa trái cây thiệt chín, gọt vỏ bỏ hột đầu đó; rồi cắt ra từng miếng, bỏ trong nước sôi mà luộc một lát; rồi vớt ra, đổ một phần nước, hai phần đường, nấu cho nó sắt lại, sẽ bỏ trái cây trước vô mà nấu cho chín.
Muốn mứt dẻo hơn, thì bỏ thêm một chút gomme arabique thì thành mứt dẻo."
"thêm ít nước lạnh trộn đều cho vô nồi nấu sôi, đoạn đem ra uống, vừa ngon lại vừa ngọt.",,Cách làm rượu ngọt trong giây phút,"May 24, 1918",15,Nữ Giới Chung,"Một chén nhỏ cơm nếp, một cái hột gà, một ly đường trắng, một ly rượu, thêm ít nước lạnh trộn đều cho vô nồi nấu sôi, đoạn đem ra uống, vừa ngon lại vừa ngọt."
Bắt lên bếp nấu và khuấy bằng muỗng cây lửa hiu-hiu,,Thịt Thỏ nấu với Ma-rông,"Feb 8, 1918",3,Nữ Giới Chung,"Làm thịt con thỏ rồi xả nó ra, bỏ vào chảo cùng một muỗng bơ (beurre) mà sấy, đoạn xút ra, đổ vào đó 250 nấm nhỏ mà sấy rồi xúc ra, đổ vào một muỗng bột sấy cho vàng, rồi đổ vô đó 1 ly rượu chất trắng, 1 ly nước bui-đon, nêm muối tiêu. Chừng sôi thì bỏ thịt vào, bỏ nấm và nửa cân đậu ma-rông đã luộc trước, hay là sấy trước. Chừng chín muốn dùng thì nêm nước xốt."
lấy ruột nhồi vắt lấy nước cho đặng một lít,,Sorbet (Xọt-bê),"Feb 8, 1918",3,Nữ Giới Chung,"Muốn ăn xọt-bê, thì lấy mười trái cam hay là ba trái thơm lột vỏ cho sạch, lấy ruột nhồi vắt lấy nước cho đặng một lít, nghĩa là đổ thêm nước lạnh khi nhồi cho đúng một lít, rồi lấy vải trắng mỏng mới giặt cho sạch vắt cho khô, mà lọt hay là rây cho dày mà lọt cho thiệt sạch, đoạn bỏ vô chừng 25, hoặc ba chục miếng đường tây, bắt lên nấu cho được mười lăm hai chục phút rồi nhắc xuống để cho nguội, xong rồi đổ vô khuôn đậy cho kín để vô thùng quầy cà-rem bỏ nước đá và muối cũng như quầy cà-rem vậy, mà quầy cho tiêu hết nước đá thì xọt-bê đặt lại chừng ăn đem ra ăn."
để vô trong cái hộp sắt đóng nắp thiệt chặt rồi để vô lò,,Bánh Bích-qui,"Mar 22, 1918",7,Nữ Giới Chung,"Lấy 6 cái tròng đỏ trứng gà, 250 grammes đường bột và nặn nửa miếng chanh: đánh cho đến màu nó trắng trắng. Rồi lấy 6 cái tròng trắng đánh cho nổi lên, đoạn đổ lần lần vô cái diệm tròng đỏ đánh trước đó, rồi lấy chừng ba phần tư lít bột cho thiệt khô, rây lên trên cái trứng gà mình đánh, thúng thẳng trộn cho đều, giữ đừng cho hạ cái tròng trắng xuống. Rồi lấy khuôn, thoa sơ chút bơ, đoạn đổ bột trên vô khuôn, bỏ vào lò hấp. Lò phải nóng vừa vừa, chớ không nên nóng lắm e cháy. Có nhiều người họ để khuôn bánh vô trong cái hộp sắt đóng nắp thiệt chặt rồi để vô lò cũng được."
đồ lộn vô đánh và chế vô một chút nước chanh rồi đánh thiệt nổi lên cho đặc đặc,,Cách làm bánh men,"Mar 1, 1918",4,Nữ Giới Chung,"Thứ bánh này mềm và ngọt ngon lắm, hễ bỏ vào miệng thì thao liền khỏi nhai. Cách làm bánh men như sau này: Lấy hai cái tròng trắng trứng gà và nắm muỗng đường cát trắng vụng đồ lộn vô đánh và chế vô một chút nước chanh rồi đánh hộp gà và đường thiệt nổi lên cho đặc đặc, đoạn lấy một miếng giấy trắng lót dưới lập-là, rồi lấy muỗng múc bột đánh đó đổ tư chỏ, hoặc muốn tròn vuông hay là dài tùy ý mình muốn. Phải đốt lò cho nóng, nhưng chẳng nên nóng quá, trước khi muốn để cái lập-là bánh này vô thì phải lấy tay để vô lò mà thử, nếu nóng mà tay mình để được, thì hễ để nó vô, rồi đậy lò lại chừng năm phút, đồng hồ thì nó sẽ chín và nở lên tốt lắm; như không có lò thì một cái trà để ngang qua một tấm thiết cho sạch ở dưới trà bỏ lửa than, rồi cũng lót giấy trắng để bột trên như đã chỉ trên đó đoạn để một cái nắp đậy trên, trà cũng phải để lửa than riu riu nữa."
"móc hết bộ lòng ra, rữa lại cho hết máu. Một ly nhỏ rượu trắng đổ vô, xóc cho thấm rượu.",,Vịt tiềm,"Jun 20, 1929",8,Phụ Nữ Tân Văn,"Vịt làm lông thiệt sạch, mổ một gang dưới bụng, móc hết bộ lòng ra, rữa lại cho hết máu. Một ly nhỏ rượu trắng, đổ vô bụng vịt, xóc cho thấm rượu, đổ dồn : kim-châm, nắm thông, hủ ky ngọt, mổi thứ hai su. Củ năn, hột sen, táo đỏ, bá hạp, đậu phộng, maron, bạch quả, mổi thứ bốn su. Các thứ phải ngâm trước cho lâu, lột vỏ rữa nhụy, rữa vắt cho ráo, và xắt nhỏ. Muốn xào nhưng với mở, hay để vậy mà trộn với một muổng café múi, rồi sẻ dồn hết vô bụng con vịt, lấy kim chĩ may lại đầu cẳng và cánh tréo lại lên trên lưng, xong đâu đó rồi chờ nước sôi sẻ thả vịt vô mà nấu. Đổ nước liệu cho ngập con vịt, đứng coi chừng gần sôi, bọt nổi mà hớt lần, đến khi sôi nhiều thì hết bọt. Muốn giữ cho da"" vịt thiệt trắng, phải dùng vải trắng mới, giặt cho hết hồ, rồi gói con vịt mà nấu. Khi hớt hết bọt rồi, chụm lữa riu riu cho được ba giờ, vịt thiệt rục mới thôi. Muốn để da mà dùng hay bỏ tùy ý, thịt thì xé ra từ miếng nhỏ, bỏ hết xương."
"ram cho vàng rồi sấp thơm vào, và chế nước màu, nước mấm xấp xấp, cho vào 1 thẻ đường, chụm lửa cho rặc nước lại hơi đặc đặc",,Thịt heo kho,"May 16, 1929",3,Phụ Nữ Tân Văn,"Thịt kho nước dừa Lựa thịt heo đen, hấp đùi hay chả vai thì ngon hơn, cạo cho hết lớp lông ngoài da, chừng nào miếng da thiệt trắng nỏn là được, lấy nhiếp bắc lông cho hết chưng, rửa cho kỷ, cắt ra từ khúc vuông ; cắt lớn như vậy thì phải lấy giây chuối bó lại cho chặt kẻo nó rả thịt. Muốn ăn gấp, nghĩa là nội buổi mai, thì khi làm rồi phải luộc chần, luộc xong mới liệu mà đổ nước mắm và nước dừa vô nồi, sấp thịt vô mà kho, phải để nước luột thịt chần đó mà nêm lại sau khi thịt thấm."
